Sr. No.,Nature of Agreement ,Date of Agreement,Group Entity,Name of the counter party,Proposed Services,Tenure & Termination,Consideration involved,SLA Involved,Primary Contact -           For India Bonds,Primary Contact -                                    For Vendor,Remarks,,,
1,Master Service Agreement,8-Feb-21,India Bond Private Limited,National Securities Depositories Limited (NSDL),"Fetching of Reference Data – Corporate Bond

First Amendment dated June 14, 2022

Second Amendment dated Sept 29, 2023

Third Amendment dated February 10, 2024","Perpetual
(With 90 days termination)","Third Amendment
INR 10,00,000/- Feb 1, 2025 to Jan 31, 2026 
INR 10,00,000/- Feb 1, 2026 to Jan 31, 2027
INR 12,00,000/- Feb 1, 2027, to Jan 31, 2028
INR 12,00,000/- Feb 1, 2028 to Jan 31, 2029
INR 15,00,000/- from Feb 1, 2029 onwards
",NO,Ashit Raja  ,"ANURAG TRIPATHI
AnuragT@nsdl.co.in
9833816198

Rahul Pratap Singh
singhr@nsdl.co.in","Commercial Pricing for the Second Year reduced to INR 6,00,000/- vide  
",,,
2,MASTER SUBSCRIPTION AGREEMENT,8-Feb-21,"A. K. Capital Services Limited (Subscriber changed to India Bond Private Limited vide letter dated March 15, 2023) ",Zoho Technologies Private Limited,"License to use Zoho CRM Plus-5 users service
","Annual Subscription      (With 60 days termination)     
continue until all
subscriptions granted in accordance with this Agreement have expired or been terminated","INR  1,35,000/-",YES,Swapnil Shinde,"Hitesh Dudani
hitesh.d@zohocorp.com
7021038089


","Subscriber changed to India Bond Private Limited vide letter dated March 15, 2023",,,
3,Agreement for Safe Storage Services ,26-Jul-19,India Bond Private Limited,StockHolding Document Management Services Limited ,Safekeeping of Documents,Perpetual,as per Schedule C,No,"India Bond Private Limited, 30-39, 3rd Floor, Free Press House, Free Press Journal Marg, 215, Nariman Point, Mumbai - 400021","SHCIL House, P-51, TTC Industrial Area, MIDC Mahape, Navi Mumbai - 400710",,,,
4,Service Agreement                       (Push SMS Agreement),10-Mar-21,India Bond Private Limited          A. K. Capital Services Limited     A. K. Capital Finance Limited   ,ACL Mobile Limited,Push SMS Services,"Perpetual
(With 60 days termination)",One Time Charge: Rs Nil.          Per Push Message Charge:       Rs. 0.105/- per SMS submitted to Mobile Operator SMSC,YES,Swapnil Shinde / Ashit Raja ,"Uditav Sinha
uditavs@aclmobile.com
9987103017

Vaishali Sharma
vaishalis@sinch.com
T: +91 120 6139000","To avail Push SMS services with respect to mobile subscribers residing outside India for the countries as mentioned in the Addendum dated May 26, 2022 (effective May 5, 2022).",,,
5,Service Agreement                       (Push SMS Agreement),5-Oct-23,"India Bond Private Limited          A. K. Capital Services Limited     A. K. Capital Finance Limited   
Family Home Finance Private Limited (new entity added)",ACL Mobile Private Limited ,Push SMS Services (Addendum Agreement No. 02),"Perpetual
(With 60 days termination)",One Time Charge: Rs Nil.          Per Push Message Charge:       Rs. 0.105/- per SMS submitted to Mobile Operator SMSC,YES,Swapnil Shinde / Ashit Raja ,"Uditav Sinha
uditavs@aclmobile.com
9987103017

Vaishali Sharma
vaishalis@sinch.com
T: +91 120 6139000",,,,
6,Internal Audit Agreement,17-May-24,India Bond Private Limited,Anudnya A Mehta & Associates,Internal Audit as per Stock Broking Regulations ,"FY 23-24 and 24-
25","INR 50,0000/-",No,Harshad Babade ,Yash Shah,,,,
7,First Amendment Agreement,6-Oct-25,India Bond Private Limited,Anudnya A Mehta & Associates,Internal Audit as per Stock Broking Regulations ,Perpetual,"INR 100,0000/-",No,Hitesh Motiramani / Ashit Raja,Yash Shah,,,,
8,Services Agreement,14-Jun-24,India Bond Private Limited,North Star Consulting,Cyber Security & Cyber Resilience Compliance Audit,Three (3) Years (Renewal at sole discretion of the Client),"INR 72,500/-",YES,"Anand Sonawane
Vice President - Engineering","Manish Ashar
Principal Consultant
",,,,
9,Master Service Agreement ,31-Jul-24,India Bond Private Limited,Digiotech Solutions Private Limited,"DigiKYC, Aadhaar Offline XML KYC, DIGILocker, Video KYC, ID card OCR validation/verification, Regulatory data submission, Upload of Signature","Perpetual 
Termination with 30 days notice ",Yes. Specific to the service being availed and specified in Annexure-II,YES,"Anand Sonawane
Vice President","Siddhant Chhabra 
Business Development Manager
9910606175",,,,
10,Agreement for e-Sign Services,21-Sep-21,A.K. Stockmart Private Limited,NSDL e-Governance Infrastructure Ltd.,To obtain e-Sign electronic Online Signature services,"Term: 21/09/2021 to 31/03/2024
30 days termination","E-Signing Per e-KYC - Rs.5
UIDAI charges per e-KYC - Rs.3 (Refundable)",NO,"Ashit Raja
","Mr. Ankush Deshpande
Vice President",,,,
11,"Service Agreement
",14-Mar-22,A.K. Stockmart Private Limited,Karza Technologies Private Limited,"To access Karza's API services and other ancillary services. 
Addendum Agreement dated 12-Feb-2023 To avail additional services of Bank AC Verification & UPI verification and Non-Assignment clause added",Perpetual (Termination with 2 months notice),"As per Annexure 3
As per Annexure 3-A",YES,Ashit Raja,"Aditya Sharma
aditya.s@karza.in
9324764465

Shankar Krishnamoorthy
shankar.k@karza.in
9821570282",,,,
